,zip,ghi
27931,62928,4.380890786625
28392,63941,4.4616374175
28412,63967,4.455862820125001
28939,65439,4.4068887712
28940,65440,4.421321312666667
28983,65566,4.4068887712
30686,70358,5.1662619114999995
31215,71423,4.7898645402
31408,71957,4.5350009600000005
31412,71961,4.56025946125
31415,71965,4.5531914232499995
31416,71966,4.56025946125
31418,71969,4.552477359666667
31419,71970,4.5520296095
31918,72839,4.543666266999999
31929,72854,4.536138534333333
31931,72856,4.548813819666666
32759,75001,4.897235802428571
32767,75014,4.9088038445999995
32768,75015,4.9088038445999995
32769,75016,4.9088038445999995
32770,75017,4.9088038445999995
32789,75038,4.9088038445999995
32809,75059,none
32810,75060,4.9088038445999995
32811,75061,4.9088038445999995
32812,75062,4.9088038445999995
32814,75064,4.9088038445999995
32947,75244,4.897235802428571
33331,76006,4.939580043333333
33335,76010,4.939580043333333
33336,76011,4.939580043333333
33355,76039,4.9504973093333335
33356,76040,4.9504973093333335
33436,76155,4.9504973093333335
33807,77005,4.824595213
33809,77007,4.824595213
33810,77008,4.824595213
33820,77018,4.817482662200001
33826,77024,4.883480628333333
33829,77027,4.824595213
33842,77040,4.869831403
33843,77041,4.869831403
33844,77042,4.883480628333333
33845,77043,4.883480628333333
33848,77046,4.824595213
33850,77048,4.830532346428571
33857,77055,4.8577696085
33858,77056,4.824595213
33859,77057,4.8577696085
33865,77063,4.883480628333333
33882,77080,4.869831403
33889,77087,4.830532346428571
33890,77088,4.817482662200001
33893,77091,4.817482662200001
33894,77092,4.817482662200001
33900,77098,4.824595213
33974,77278,4.883480628333333
34185,77550,4.9601682425
34186,77551,4.9601682425
34187,77552,4.9601682425
34188,77553,4.9601682425
34190,77555,4.9601682425
34704,78597,5.2578146455
35259,79834,5.917685509
35515,80420,none
35519,80424,none
35524,80429,none
35529,80435,none
35534,80440,5.0527665615
35536,80443,none
35550,80461,none
35572,80497,none
35573,80498,none
35850,81130,none
35883,81225,4.84986078725
35885,81227,5.051901817333333
35886,81228,none
35902,81251,none
35920,81332,none
35939,81426,4.954999129
35946,81433,none
35987,81642,none
35993,81649,4.780529817
36030,82190,none
36152,82922,4.38954937475
36217,83229,none
36247,83278,none
36278,83340,4.502514362
36323,83449,4.1948237420000005
36337,83469,4.127375841
36366,83601,none
36373,83611,4.243418694
36387,83631,none
36393,83637,none
36478,83826,3.6239147185999996
36554,84036,4.772595405500001
36608,84092,4.740222083222222
36681,84310,4.675037520142857
36688,84317,4.693037669
36690,84319,4.56542229675
36694,84323,4.64031076425
36885,85016,5.7949728369999995
36926,85064,5.7949728369999995
37044,85264,5.7350530625000005
37159,85501,5.709552288199999
37170,85541,none
37174,85545,none
37176,85547,5.586835384
37181,85553,none
37182,85554,5.5188245775
37296,85920,none
37297,85922,none
37306,85931,5.5316419605
37307,85932,5.433544794666666
37326,86017,5.4651895522
37331,86023,5.4854588505
37343,86038,5.5494053365000005
37352,86052,5.441316605
37359,86305,5.620465914444444
37379,86336,5.4925230978
37607,87525,5.2216632843
37641,87573,5.3363073666666665
37649,87581,5.3324842454
37686,87820,5.526467680750001
37689,87824,5.432611465
37694,87830,none
37710,88002,5.885661465714286
37748,88049,5.60798370825
38200,90001,5.3981949490000005
38201,90002,5.3981949490000005
38202,90003,5.429743767000001
38208,90009,5.4761154654999995
38221,90022,5.414657879000001
38222,90023,5.414657879000001
38230,90031,5.430045763833334
38232,90033,5.414657879000001
38242,90043,5.4811897279999995
38243,90044,5.4761154654999995
38244,90045,5.484810352666666
38246,90047,5.4761154654999995
38251,90052,5.4034996035
38257,90058,5.3966543675
38258,90059,5.469998837
38260,90061,5.405743599
38262,90063,5.414657879000001
38264,90065,5.437648392000001
38279,90080,5.484810352666666
38282,90083,5.484810352666666
38289,90091,5.3966543675
38293,90096,5.3966543675
38295,90101,5.3966543675
38296,90102,5.414657879000001
38297,90103,5.3966543675
38300,90201,5.3966543675
38301,90202,5.3966543675
